row_id,attack_id,language,original_claim,original_evidence,adversarial_claim,adversarial_evidence,gold_label,target_label,edit_granularity,technique_params,validity_flags,skip_reason
0,CA_WORD_03_Jumbling,hi,रक्तचाप घटाने का एकमात्र प्रभावी तरीका दवा लेना है।,डब्ल्यूएचओ नमक सेवन कम करने को रक्तचाप कम करने के उपाय के रूप में बताता है।,एकमात्र तरीका घटाने है। का प्रभावी लेना दवा रक्तचाप,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
1,CA_WORD_03_Jumbling,hi,भारतीय नौसेना ने सुरंग के भीतर बचाव कार्य के लिए विशेष पनडुब्बी तैनात की थी।,लेख में भारतीय नौसेना या किसी पनडुब्बी की तैनाती का उल्लेख नहीं है।,नौसेना भारतीय कार्य सुरंग थी। के विशेष पनडुब्बी की लिए भीतर तैनात के ने बचाव,,NEI,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
2,CA_WORD_03_Jumbling,hi,17 जून 2026 तक अरुणाचल प्रदेश में जल जीवन मिशन के अंतर्गत ग्रामीण नल जल कवरेज 100 प्रतिशत था।,पीआईबी हिंदी विज्ञप्ति की पूर्वोत्तर राज्यों की तालिका में 17 जून 2026 तक अरुणाचल प्रदेश के लिए जल जीवन मिशन कवरेज 100 प्रतिशत दिया गया है।,प्रतिशत ग्रामीण में मिशन अरुणाचल जल था। कवरेज नल अंतर्गत जल 17 प्रदेश के जून 100 2026 जीवन तक,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
3,CA_WORD_03_Jumbling,hi,मुख्य मोटर मार्ग लगभग 16 घंटे तक बंद रहा।,लेख में लगभग 16 घंटे तक यातायात ठप रहने की बात कही गई है।,मोटर तक लगभग मुख्य 16 मार्ग बंद रहा। घंटे,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
4,CA_WORD_03_Jumbling,hi,उत्तराखंड सरकार ने कौंज गांव के सभी परिवारों के तत्काल स्थायी पुनर्वास के लिए नई आवास योजना की घोषणा की।,लेख में ऐसी किसी नई पुनर्वास योजना या सरकारी घोषणा का उल्लेख नहीं है।,कौंज स्थायी नई सरकार के घोषणा सभी पुनर्वास की। गांव ने की के के तत्काल परिवारों योजना उत्तराखंड आवास लिए,,NEI,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
5,CA_WORD_03_Jumbling,hi,प्रधानमंत्री-आयुष्मान भारत स्वास्थ्य अवसंरचना मिशन 2021 में शुरू किया गया था।,पीआईबी की हिंदी विज्ञप्ति के अनुसार भारत सरकार ने प्रधानमंत्री-आयुष्मान भारत स्वास्थ्य अवसंरचना मिशन की शुरुआत 2021 में की थी।,स्वास्थ्य में था। किया गया मिशन अवसंरचना प्रधानमंत्री-आयुष्मान भारत शुरू 2021,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
6,CA_WORD_03_Jumbling,hi,महिलाओं ने बच्चों और पुरुषों ने बुजुर्गों को सुरक्षित स्थान तक पहुंचाने में मदद की।,लेख में महिलाओं और पुरुषों की भूमिका का स्पष्ट उल्लेख है।,ने मदद पुरुषों में स्थान महिलाओं ने तक पहुंचाने बुजुर्गों को और की। बच्चों सुरक्षित,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
7,CA_WORD_03_Jumbling,hi,पैक्स के आदर्श उपविधियों में महिलाओं तथा अनुसूचित जाति और अनुसूचित जनजाति को पर्याप्त प्रतिनिधित्व देने का प्रावधान है।,पीआईबी की हिंदी विज्ञप्ति में पैक्स की सदस्यता को समावेशी बनाने के लिए महिलाओं और अनुसूचित जाति/जनजाति को पर्याप्त प्रतिनिधित्व देने के प्रावधान का उल्लेख है।,महिलाओं देने है। अनुसूचित पैक्स तथा को आदर्श उपविधियों प्रावधान जनजाति पर्याप्त और में के का जाति प्रतिनिधित्व अनुसूचित,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
8,CA_WORD_03_Jumbling,hi,खान सर की हिरासत का पुराना वीडियो खान ग्लोबल स्टडीज विवाद से संबंधित नहीं।,"दिसंबर 2024 में बीपीएससी प्रदर्शन के दौरान पुलिस की हिरासत में खान सर का पुराना वीडियो गलत संदर्भ में वायरल। चर्चित यूट्यूबर और शिक्षक फैजल खान उर्फ खान सर के पटना स्थित कोचिंग संस्थान में हुई गोलीबारी के बाद उन पर कानूनी शिकंजा कस गया है। पुलिस ने जहां उनके दो गार्डों को गिरफ्तार किया है। तो वहीं खान सर के खिलाफ भी एफआईआर दर्ज की गई है। इसी संदर्भ से जोड़ते हुए सोशल मीडिया पर एक वीडियो वायरल हो रहा है, जिसमें पुलिस बल खान सर को हिरासत में लेकर जाते हुए दिख रहा है। इस वीडियो को हालिया फायरिंग कांड से जोड़कर साझा किया जा रहा है और दावा किया जा रहा है कि पुलिस ने उन्हें गिरफ्तार कर लिया है। पोस्ट के कैप्शन में लिखा गया है कि… बिहारकोअपनीजागीरसमझनेवालाबिहारकेयुवाओंकोभड़काकरसरकारकोब्लैकमेलकरनेवालाखानसरउर्फ़फैसलखानगिरफ्तार”सिंपैथीवालाकार्डफेलहोगयाअभीतोपार्टीशुरूहुईहै फेसबुक पोस्ट।आर्काइव पोस्ट अनुसंधानसेपताचलताहैकि… हमने जांच की शुरुआत में वायरल वीडियो के कीफ्रेम निकालकर उनको गूगल रिवर्स इमेज सर्च किया। परिणाम में हमेंViral Khan Sirनाम के एक यूट्यूब चैनल पर वायरल वीडियो से मेल खाता हुआ वीडियो मिला। यहां पर 6 दिसंबर 2024 को वीडियो पोस्ट करते हुए बताया गया था कि यह BPSC की 70वीं संयुक्त प्रतियोगिता परीक्षा में नॉर्मलाइजेशन के विरोध के दौरान का है। जिसमें प्रदर्शन में शामिल होने के कारण खान सर को पटना के गर्दनीबाग थाने में ले जाया गया था। फिर हमें इस मामले मेंआजतककी वेबसाइट पर 7 दिसंबर 2024 की एक रिपोर्ट मिली। इसके अनुसार, बिहार में दिसंबर 2024 में बीपीएससी के खिलाफ प्रदर्शन के दौरान खान सर को हिरासत में लिया गया था जब बीपीएससी की परीक्षा में नॉर्मलाइजेशन को लेकर अभ्यर्थियों का आंदोलन हो रहा था। हालांकि एक घंटे बाद खान सर समेत कुछ अन्य लोगों को छोड़ दिया गया था। आगे हमें इससे संबंधितदैनिक भास्करकि रिपोर्ट मिली, जिसमें बताया गया है कि BPSC की 70वीं संयुक्त प्रतियोगिता परीक्षा में नॉर्मलाइजेशन के मुद्दे को लेकर छात्रों ने प्रदर्शन किया था। इसमें खान सर भी शामिल हुए थे। जिसकी वजह से पुलिस ने उन्हे हिरासत में लिया। बाद में उन्हे तुरंत छोड़ भी दिया गया था। पड़ताल में आगे बढ़ते हुए हमेंटाइम्स नाउकी वेबसाइट पर एक रिपोर्ट मिली, जिसमें वायरल वीडियो के स्क्रीनशॉट को शेयर किया गया है।",स्टडीज की सर ग्लोबल विवाद वीडियो संबंधित खान नहीं। पुराना से हिरासत खान का,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
9,CA_WORD_03_Jumbling,hi,प्रधानमंत्री किसान मानधन योजना में प्रवेश की आयु 18 से 40 वर्ष है।,पीएम-किसान के परिचालन दिशानिर्देशों में पीएम-केएमवाई के लिए प्रवेश आयु 18 से 40 वर्ष दी गई है।,है। आयु 40 की प्रवेश में किसान योजना वर्ष प्रधानमंत्री 18 से मानधन,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
10,CA_WORD_03_Jumbling,hi,मलेरिया एक वायरल बीमारी है जो संक्रमित व्यक्ति के खांसने या छींकने से सीधे दूसरे व्यक्ति में फैलती है।,"विश्व स्वास्थ्य संगठन के अनुसार, मलेरिया प्लास्मोडियम परजीवी (परजीवी) के कारण होता है और यह मुख्य रूप से संक्रमित मादा एनोफिलीज (एएनओपीएचईएलईएस) मच्छरों के काटने से मनुष्यों में फैलता है।",व्यक्ति व्यक्ति जो से फैलती के दूसरे मलेरिया खांसने एक संक्रमित या सीधे छींकने है। वायरल में बीमारी है,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
11,CA_WORD_03_Jumbling,hi,"CJP विरोध प्रदर्शन के नाम पर वायरल हुआ वीडियो 11 साल पुराना, JNU के ‘किस ऑफ लव’ अभियान का है वीडियो।","जंतर-मंतर पर CJP प्रदर्शन का बताकर शेयर किया गया वीडियो, असल में JNU के 2014 ‘किस ऑफ लव’ अभियान का है। प्रतियोगी परीक्षाओं में हुई धांधली और नीट पेपर लीक मामले को लेकर देश की राजधानी के जंतर-मंतर पर कॉकरोच जनता पार्टी (CJP) का विरोध प्रदर्शन लगातार जारी है। आंदोलनकारी केंद्रीय शिक्षा मंत्री धर्मेंद्र प्रधान के तत्काल इस्तीफे की मांग कर रहे हैं। वहीं CJP के संस्थापक अभिजीत दीपके के नेतृत्व में चल रहे इस आंदोलन को न केवल देश के अलग-अलग राज्यों से बल्कि विदेशों से भी भारी जनसमर्थन मिल रहा है। इसी से जोड़ते हुए सोशल मीडिया पर एक वीडियो तेजी से वायरल हो रहा है, जिसमें कुछ लड़के और लड़कियां नज़र आ रहे हैं जो आपस में एक दूसरे को चूमते हैं। तभी वहां मौजूद भीड़ ताली बजाती है। दावा किया जा रहा है कि यह वीडियो उसी सीजेपी प्रोटेस्ट का है। वीडियो के साथ यूज़र ने कैप्शन लिखा है… रात2बजेजंतरमंतरकॉकरोचप्रोटेस्टअपनेपीकपरहोताहैयेप्रोटेस्टनहींरुकेगा….युहींचलेगा..बढ़ेगा. फेसबुक पोस्ट।आर्काइव पोस्ट अनुसंधानसेपताचलताहैकि… हमने जांच की शुरुआत में वायरल वीडियो के कीफ्रेम को रिवर्स इमेज सर्च किया। परिणाम में हमें यह वीडियो एकइंस्टाग्राम अकाउंटपर 12 जनवरी 2020 में अपलोड किया हुआ मिला। इसके साथ लिखे कैप्शन के अनुसार, वीडियो को जेएनयू में आयोजित हुए एक प्रदर्शन “किस ऑफ़ लव” का बताया गया है। आगे हमें 12 नवंबर, 2014 को एकयूट्यूब चैनलपर वायरल वीडियो मिला। कैप्शन के अनुसार, यह JNU (जवाहरलाल नेहरू विश्वविद्यालय) का है जब ‘किस ऑफ लव’ कैंपेन की शुरुआत हुई थी। इसी समान जानकारी के साथ एक अन्ययूट्यूब यूज़रने भी यहीं वीडियो शेयर किया है, जिसमें वीडियो को जेएनयू के ‘किस ऑफ लव’ का ही बताया गया है। आगे की पड़ताल में हमें पता चला कि ‘किस ऑफ लव’नाम के एक फेसबुक पेज ने भी 9 नवंबर, 2014 को एक पोस्ट शेयर की थी। इस पोस्ट में दिख रही लड़कियां वही हैं जो वायरल वीडियो में नज़र आ रही हैं। पोस्ट के कैप्शन अनुसार, यह प्रदर्शन जेएनयू (JNU) के गंगा ढाबा के पास हुआ था। वायरल वीडियो के संदर्भ में हमें कुछ मीडिया रिपोर्ट प्रकाशित मिली है। 12 नवंबर 2014 को प्रकाशितबीबीसीकी रिपोर्ट बताती है कि, यह प्रदर्शन कोलकाता, हैदराबाद और दिल्ली समेत कई शहरों में आयोजित किया गया था जो मोरल पुलिसिंग के खिलाफ शुरू हुआ था। रिपोर्ट में वायरल","है वीडियो। वायरल लव’ JNU वीडियो विरोध का प्रदर्शन ऑफ ‘किस के पर अभियान पुराना, हुआ नाम साल 11 के CJP",,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
12,CA_WORD_03_Jumbling,hi,एफडीए ने ई-सिगरेट को धूम्रपान छोड़ने की स्वीकृत दवा के रूप में मंजूरी दी है।,अमेरिकी खाद्य एवं औषधि प्रशासन के अनुसार किसी ई-सिगरेट उत्पाद को धूम्रपान छोड़ने की विधि के रूप में एफडीए की मंजूरी नहीं मिली है।,की को ई-सिगरेट के रूप में एफडीए स्वीकृत मंजूरी दी है। धूम्रपान दवा छोड़ने ने,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
13,CA_WORD_03_Jumbling,hi,"व्यासी जल विद्युत परियोजना, ढालीपुर, ढकरानी और कुल्हाल जल विद्युत गृह में बिजली उत्पादन पूरी तरह बंद हो गया।",लेख में इन चारों परियोजनाओं और जल विद्युत गृहों में उत्पादन ठप होने की जानकारी दी गई है।,"बंद परियोजना, ढालीपुर, हो बिजली में तरह गया। उत्पादन जल विद्युत और ढकरानी विद्युत गृह पूरी जल कुल्हाल व्यासी",,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
14,CA_WORD_03_Jumbling,hi,जल जीवन मिशन 2.0 को दिसंबर 2028 तक बढ़ाने की मंजूरी दी गई।,अमर उजाला की हिंदी रिपोर्ट में जल जीवन मिशन 2.0 को दिसंबर 2028 तक बढ़ाने की मंत्रिमंडल मंजूरी का उल्लेख है।,2.0 मिशन की बढ़ाने तक दी जल जीवन 2028 मंजूरी को गई। दिसंबर,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
15,CA_WORD_03_Jumbling,hi,अक्षय कुमार ने मुंबई की एक निजी अस्पताल चेन में 300 करोड़ रुपये का निवेश किया।,आजतक फैक्ट चेक ने कॉर्पोरेट फाइलिंग और अस्पताल समूह के सार्वजनिक बयानों की जांच में ऐसा कोई निवेश रिकॉर्ड नहीं पाया। अक्षय कुमार के प्रवक्ता ने भी इस खबर को अफवाह बताया।,चेन निजी एक ने 300 का करोड़ में की निवेश मुंबई रुपये अक्षय अस्पताल कुमार किया।,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
