row_id,attack_id,language,original_claim,original_evidence,adversarial_claim,adversarial_evidence,gold_label,target_label,edit_granularity,technique_params,validity_flags,skip_reason,injected_evidence_workaround
0,CA_07_AdvTrigger,hi,रक्तचाप घटाने का एकमात्र प्रभावी तरीका दवा लेना है।,डब्ल्यूएचओ नमक सेवन कम करने को रक्तचाप कम करने के उपाय के रूप में बताता है।,,,REF,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
1,CA_07_AdvTrigger,hi,भारतीय नौसेना ने सुरंग के भीतर बचाव कार्य के लिए विशेष पनडुब्बी तैनात की थी।,लेख में भारतीय नौसेना या किसी पनडुब्बी की तैनाती का उल्लेख नहीं है।,,,NEI,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
2,CA_07_AdvTrigger,hi,17 जून 2026 तक अरुणाचल प्रदेश में जल जीवन मिशन के अंतर्गत ग्रामीण नल जल कवरेज 100 प्रतिशत था।,पीआईबी हिंदी विज्ञप्ति की पूर्वोत्तर राज्यों की तालिका में 17 जून 2026 तक अरुणाचल प्रदेश के लिए जल जीवन मिशन कवरेज 100 प्रतिशत दिया गया है।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
3,CA_07_AdvTrigger,hi,मुख्य मोटर मार्ग लगभग 16 घंटे तक बंद रहा।,लेख में लगभग 16 घंटे तक यातायात ठप रहने की बात कही गई है।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
4,CA_07_AdvTrigger,hi,उत्तराखंड सरकार ने कौंज गांव के सभी परिवारों के तत्काल स्थायी पुनर्वास के लिए नई आवास योजना की घोषणा की।,लेख में ऐसी किसी नई पुनर्वास योजना या सरकारी घोषणा का उल्लेख नहीं है।,,,NEI,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
5,CA_07_AdvTrigger,hi,प्रधानमंत्री-आयुष्मान भारत स्वास्थ्य अवसंरचना मिशन 2021 में शुरू किया गया था।,पीआईबी की हिंदी विज्ञप्ति के अनुसार भारत सरकार ने प्रधानमंत्री-आयुष्मान भारत स्वास्थ्य अवसंरचना मिशन की शुरुआत 2021 में की थी।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
6,CA_07_AdvTrigger,hi,महिलाओं ने बच्चों और पुरुषों ने बुजुर्गों को सुरक्षित स्थान तक पहुंचाने में मदद की।,लेख में महिलाओं और पुरुषों की भूमिका का स्पष्ट उल्लेख है।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
7,CA_07_AdvTrigger,hi,पैक्स के आदर्श उपविधियों में महिलाओं तथा अनुसूचित जाति और अनुसूचित जनजाति को पर्याप्त प्रतिनिधित्व देने का प्रावधान है।,पीआईबी की हिंदी विज्ञप्ति में पैक्स की सदस्यता को समावेशी बनाने के लिए महिलाओं और अनुसूचित जाति/जनजाति को पर्याप्त प्रतिनिधित्व देने के प्रावधान का उल्लेख है।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
8,CA_07_AdvTrigger,hi,खान सर की हिरासत का पुराना वीडियो खान ग्लोबल स्टडीज विवाद से संबंधित नहीं।,"दिसंबर 2024 में बीपीएससी प्रदर्शन के दौरान पुलिस की हिरासत में खान सर का पुराना वीडियो गलत संदर्भ में वायरल। चर्चित यूट्यूबर और शिक्षक फैजल खान उर्फ खान सर के पटना स्थित कोचिंग संस्थान में हुई गोलीबारी के बाद उन पर कानूनी शिकंजा कस गया है। पुलिस ने जहां उनके दो गार्डों को गिरफ्तार किया है। तो वहीं खान सर के खिलाफ भी एफआईआर दर्ज की गई है। इसी संदर्भ से जोड़ते हुए सोशल मीडिया पर एक वीडियो वायरल हो रहा है, जिसमें पुलिस बल खान सर को हिरासत में लेकर जाते हुए दिख रहा है। इस वीडियो को हालिया फायरिंग कांड से जोड़कर साझा किया जा रहा है और दावा किया जा रहा है कि पुलिस ने उन्हें गिरफ्तार कर लिया है। पोस्ट के कैप्शन में लिखा गया है कि… बिहारकोअपनीजागीरसमझनेवालाबिहारकेयुवाओंकोभड़काकरसरकारकोब्लैकमेलकरनेवालाखानसरउर्फ़फैसलखानगिरफ्तार”सिंपैथीवालाकार्डफेलहोगयाअभीतोपार्टीशुरूहुईहै फेसबुक पोस्ट।आर्काइव पोस्ट अनुसंधानसेपताचलताहैकि… हमने जांच की शुरुआत में वायरल वीडियो के कीफ्रेम निकालकर उनको गूगल रिवर्स इमेज सर्च किया। परिणाम में हमेंViral Khan Sirनाम के एक यूट्यूब चैनल पर वायरल वीडियो से मेल खाता हुआ वीडियो मिला। यहां पर 6 दिसंबर 2024 को वीडियो पोस्ट करते हुए बताया गया था कि यह BPSC की 70वीं संयुक्त प्रतियोगिता परीक्षा में नॉर्मलाइजेशन के विरोध के दौरान का है। जिसमें प्रदर्शन में शामिल होने के कारण खान सर को पटना के गर्दनीबाग थाने में ले जाया गया था। फिर हमें इस मामले मेंआजतककी वेबसाइट पर 7 दिसंबर 2024 की एक रिपोर्ट मिली। इसके अनुसार, बिहार में दिसंबर 2024 में बीपीएससी के खिलाफ प्रदर्शन के दौरान खान सर को हिरासत में लिया गया था जब बीपीएससी की परीक्षा में नॉर्मलाइजेशन को लेकर अभ्यर्थियों का आंदोलन हो रहा था। हालांकि एक घंटे बाद खान सर समेत कुछ अन्य लोगों को छोड़ दिया गया था। आगे हमें इससे संबंधितदैनिक भास्करकि रिपोर्ट मिली, जिसमें बताया गया है कि BPSC की 70वीं संयुक्त प्रतियोगिता परीक्षा में नॉर्मलाइजेशन के मुद्दे को लेकर छात्रों ने प्रदर्शन किया था। इसमें खान सर भी शामिल हुए थे। जिसकी वजह से पुलिस ने उन्हे हिरासत में लिया। बाद में उन्हे तुरंत छोड़ भी दिया गया था। पड़ताल में आगे बढ़ते हुए हमेंटाइम्स नाउकी वेबसाइट पर एक रिपोर्ट मिली, जिसमें वायरल वीडियो के स्क्रीनशॉट को शेयर किया गया है।",,,REF,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
9,CA_07_AdvTrigger,hi,प्रधानमंत्री किसान मानधन योजना में प्रवेश की आयु 18 से 40 वर्ष है।,पीएम-किसान के परिचालन दिशानिर्देशों में पीएम-केएमवाई के लिए प्रवेश आयु 18 से 40 वर्ष दी गई है।,,,SUP,same_as_gold,sentence,"{""attack_name"": ""Adv. Trigger""}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",llm_generation_failed,False
